srch_id,predicted_choice
627931,15
628091,22
628979,10
629188,8
629237,NO_PURCHASE
629694,11
630307,15
630455,1
630684,3
630823,4
631320,11
631517,3
632126,2
633238,20
634210,12
634323,3
634352,4
635214,4
636069,5
636094,18
636333,NO_PURCHASE
637740,13
639251,5
640271,6
640286,NO_PURCHASE
640683,27
642802,15
644343,4
645311,1
646708,29
647314,1
648287,8
649529,24
649922,10
650178,14
650701,24
652642,NO_PURCHASE
653693,7
654402,1
657005,29
657268,16
658113,1
658454,15
659855,6
660655,7
661834,10
662259,24
662958,2
663681,NO_PURCHASE
664656,16
