srch_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score,prop_accesibility_score,prop_log_historical_price,price_usd,promotion_flag,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,alt_id,in_ai_sample500,ai_score_sample500,booking_ai_sample500,ai_choice_sample500
3556,4,5,1,2,0,6,245,0,7,3,0,1,0,1,True,-0.292584003342939,0,NO_PURCHASE
3556,3,4,1,2,0,5,223,0,7,3,0,1,0,2,True,-1.230749868806329,0,NO_PURCHASE
3556,3,3,0,1,0,6,223,0,7,3,0,1,0,3,True,-2.7503515541802352,0,NO_PURCHASE
3556,2,3,0,2,0,5,214,0,7,3,0,1,0,4,True,-2.513528726941385,0,NO_PURCHASE
4939,4,5,1,3,0,0,279,0,9,2,0,1,0,1,True,0.5705830136309746,0,6
4939,5,5,1,3,0,0,495,0,9,2,0,1,0,2,True,-0.03117174993226346,0,6
4939,4,5,1,3,0,0,399,1,9,2,0,1,0,3,True,0.30943413591989327,0,6
4939,3,4,0,3,0,0,179,1,9,2,0,1,0,4,True,0.01334205442682207,0,6
4939,3,5,0,2,0,0,155,0,9,2,0,1,0,5,True,0.022895624141454407,0,6
4939,5,5,1,2,0,0,239,0,9,2,0,1,0,6,True,0.6467178423771147,1,6
4939,4,4,0,0,0,0,239,0,9,2,0,1,0,7,True,-1.7166032085347969,0,6
4939,2,4,1,2,0,0,63,0,9,2,0,1,0,8,True,-0.4717552602434365,0,6
4939,3,5,1,2,0,0,119,0,9,2,0,1,0,9,True,0.3912402874547788,0,6
4939,3,3,1,2,0,0,70,0,9,2,0,1,0,10,True,-0.8127275361065531,0,6
4939,3,5,1,2,0,0,103,0,9,2,0,1,0,11,True,0.46606013781625627,0,6
4939,3,4,1,2,0,0,125,0,9,2,0,1,0,12,True,-0.35336896407745366,0,6
4939,3,5,1,2,0,0,109,0,9,2,0,1,0,13,True,0.43800269393070224,0,6
4939,5,5,1,2,0,0,359,0,9,2,0,1,0,14,True,0.08556896466603336,0,6
4939,3,5,1,0,0,0,104,0,9,2,0,1,0,15,True,-0.5770721297798606,0,6
4939,2,3,1,1,0,0,65,0,9,2,0,1,0,16,True,-1.7168875626595619,0,6
4939,2,4,1,3,0,0,59,0,9,2,0,1,0,17,True,0.06617771582119525,0,6
7884,4,4,1,4,0,5,107,0,36,3,1,1,1,1,True,0.758463289579616,0,11
7884,2,4,0,4,0,4,101,1,36,3,1,1,1,2,True,0.15371616508471836,0,11
7884,2,5,1,4,0,4,150,0,36,3,1,1,1,3,True,0.5411321809993717,0,11
7884,4,5,1,2,0,5,105,0,36,3,1,1,1,4,True,0.4459115515729546,0,11
7884,2,4,0,2,0,5,95,0,36,3,1,1,1,5,True,-1.2405042822312171,0,11
