srch_id,actual_label,ai_pred_label,mnl_pred_label,actual_purchase,ai_pred_purchase,mnl_pred_purchase,ai_correct_top1,mnl_correct_top1,ai_correct_purchase_decision,mnl_correct_purchase_decision,mnl_outside_prob,mnl_best_hotel_prob
101,HOTEL_19,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.253205261389201,0.04959808080984281
325,HOTEL_6,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.38726818402105945,0.07130604204508532
419,HOTEL_1,HOTEL_4,NO_PURCHASE,True,True,False,False,False,True,False,0.25397700790403355,0.0797811676990398
1069,HOTEL_2,HOTEL_3,NO_PURCHASE,True,True,False,False,False,True,False,0.35845237801397595,0.22380590136089829
1992,HOTEL_1,HOTEL_10,NO_PURCHASE,True,True,False,False,False,True,False,0.13086975859984518,0.049534326777407656
3346,HOTEL_5,HOTEL_5,NO_PURCHASE,True,True,False,True,False,True,False,0.4223355080589337,0.15872672946020852
3556,HOTEL_1,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.7631024442967697,0.09726469800774917
4256,HOTEL_9,HOTEL_2,NO_PURCHASE,True,True,False,False,False,True,False,0.35268603895385636,0.12271538403458777
4939,HOTEL_4,HOTEL_11,NO_PURCHASE,True,True,False,False,False,True,False,0.2356331038284765,0.06664384741540656
5229,HOTEL_15,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.1464720245497951,0.07772201740488166
5890,HOTEL_23,HOTEL_25,NO_PURCHASE,True,True,False,False,False,True,False,0.1479535512847934,0.07189020552223686
6966,HOTEL_11,HOTEL_21,NO_PURCHASE,True,True,False,False,False,True,False,0.15781629225587135,0.060733479892725976
7528,HOTEL_5,HOTEL_11,NO_PURCHASE,True,True,False,False,False,True,False,0.16157279657498594,0.07135925112488195
7608,HOTEL_6,HOTEL_1,NO_PURCHASE,True,True,False,False,False,True,False,0.2285659722333191,0.07432435921157649
7662,HOTEL_7,HOTEL_11,NO_PURCHASE,True,True,False,False,False,True,False,0.31897534758100143,0.11380352532778756
8496,HOTEL_2,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.1790318391886276,0.11773332067979995
8719,HOTEL_3,HOTEL_3,NO_PURCHASE,True,True,False,True,False,True,False,0.13407338138143873,0.0696476585515287
9051,HOTEL_1,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.7765341314716651,0.06356720083345814
9984,HOTEL_1,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.15331809059262758,0.04001140772964084
10510,HOTEL_10,HOTEL_15,NO_PURCHASE,True,True,False,False,False,True,False,0.30113317270016104,0.07582641623836933
10634,HOTEL_9,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.2831967059769574,0.08626491343145917
11458,HOTEL_2,HOTEL_1,NO_PURCHASE,True,True,False,False,False,True,False,0.5914866826776917,0.1129806933350098
11867,HOTEL_9,HOTEL_3,NO_PURCHASE,True,True,False,False,False,True,False,0.225764069495788,0.09138101318756683
12894,HOTEL_4,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.5088011905054067,0.12513300503003214
13526,HOTEL_9,HOTEL_29,NO_PURCHASE,True,True,False,False,False,True,False,0.19693189904099467,0.05253129665918322
14140,HOTEL_5,HOTEL_19,NO_PURCHASE,True,True,False,False,False,True,False,0.11163095968066951,0.04542802829885559
14414,HOTEL_4,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.2534434654807376,0.10973875453198806
14875,HOTEL_2,HOTEL_1,NO_PURCHASE,True,True,False,False,False,True,False,0.5444415000182268,0.23374516153009886
15207,HOTEL_1,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.3426353319568254,0.15324898926497812
15622,HOTEL_1,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.501752311177274,0.1403752682344164
17627,HOTEL_4,NO_PURCHASE,NO_PURCHASE,True,False,False,False,False,False,False,0.14144382810934691,0.05547402780676703
